scenario,seq,email,check_stage,on_survivor,on_down,lost
aws-down,50,rpo-0728235732azure-0050@test.local,raw,True,False,True
aws-down,1,rpo-0728235732azure-0001@test.local,post,True,True,False
aws-down,2,rpo-0728235732azure-0002@test.local,post,True,True,False
aws-down,3,rpo-0728235732azure-0003@test.local,post,True,True,False
aws-down,4,rpo-0728235732azure-0004@test.local,post,True,True,False
aws-down,5,rpo-0728235732azure-0005@test.local,post,True,True,False
aws-down,6,rpo-0728235732azure-0006@test.local,post,True,True,False
aws-down,7,rpo-0728235732azure-0007@test.local,post,True,True,False
aws-down,8,rpo-0728235732azure-0008@test.local,post,True,True,False
aws-down,9,rpo-0728235732azure-0009@test.local,post,True,True,False
aws-down,10,rpo-0728235732azure-0010@test.local,post,True,True,False
aws-down,11,rpo-0728235732azure-0011@test.local,post,True,True,False
aws-down,12,rpo-0728235732azure-0012@test.local,post,True,True,False
aws-down,13,rpo-0728235732azure-0013@test.local,post,True,True,False
aws-down,14,rpo-0728235732azure-0014@test.local,post,True,True,False
aws-down,15,rpo-0728235732azure-0015@test.local,post,True,True,False
aws-down,16,rpo-0728235732azure-0016@test.local,post,True,True,False
aws-down,17,rpo-0728235732azure-0017@test.local,post,True,True,False
aws-down,18,rpo-0728235732azure-0018@test.local,post,True,True,False
aws-down,19,rpo-0728235732azure-0019@test.local,post,True,True,False
aws-down,20,rpo-0728235732azure-0020@test.local,post,True,True,False
aws-down,21,rpo-0728235732azure-0021@test.local,post,True,True,False
aws-down,22,rpo-0728235732azure-0022@test.local,post,True,True,False
aws-down,23,rpo-0728235732azure-0023@test.local,post,True,True,False
aws-down,24,rpo-0728235732azure-0024@test.local,post,True,True,False
aws-down,25,rpo-0728235732azure-0025@test.local,post,True,True,False
aws-down,26,rpo-0728235732azure-0026@test.local,post,True,True,False
aws-down,27,rpo-0728235732azure-0027@test.local,post,True,True,False
aws-down,28,rpo-0728235732azure-0028@test.local,post,True,True,False
aws-down,29,rpo-0728235732azure-0029@test.local,post,True,True,False
aws-down,30,rpo-0728235732azure-0030@test.local,post,True,True,False
aws-down,31,rpo-0728235732azure-0031@test.local,post,True,True,False
aws-down,32,rpo-0728235732azure-0032@test.local,post,True,True,False
aws-down,33,rpo-0728235732azure-0033@test.local,post,True,True,False
aws-down,34,rpo-0728235732azure-0034@test.local,post,True,True,False
aws-down,35,rpo-0728235732azure-0035@test.local,post,True,True,False
aws-down,36,rpo-0728235732azure-0036@test.local,post,True,True,False
aws-down,37,rpo-0728235732azure-0037@test.local,post,True,True,False
aws-down,38,rpo-0728235732azure-0038@test.local,post,True,True,False
aws-down,39,rpo-0728235732azure-0039@test.local,post,True,True,False
aws-down,40,rpo-0728235732azure-0040@test.local,post,True,True,False
aws-down,41,rpo-0728235732azure-0041@test.local,post,True,True,False
aws-down,42,rpo-0728235732azure-0042@test.local,post,True,True,False
aws-down,43,rpo-0728235732azure-0043@test.local,post,True,True,False
aws-down,44,rpo-0728235732azure-0044@test.local,post,True,True,False
aws-down,45,rpo-0728235732azure-0045@test.local,post,True,True,False
aws-down,46,rpo-0728235732azure-0046@test.local,post,True,True,False
aws-down,47,rpo-0728235732azure-0047@test.local,post,True,True,False
aws-down,48,rpo-0728235732azure-0048@test.local,post,True,True,False
aws-down,49,rpo-0728235732azure-0049@test.local,post,True,True,False
aws-down,50,rpo-0728235732azure-0050@test.local,post,True,True,False
