scenario,target_cloud,seq,email,register_time,status,phase
aws-down,azure,13,rpo-0728235732azure-0013@test.local,00:02:06.428,201,outage
aws-down,azure,14,rpo-0728235732azure-0014@test.local,00:02:08.036,201,outage
aws-down,azure,15,rpo-0728235732azure-0015@test.local,00:02:09.625,201,outage
aws-down,azure,16,rpo-0728235732azure-0016@test.local,00:02:11.253,201,outage
aws-down,azure,17,rpo-0728235732azure-0017@test.local,00:02:12.844,201,outage
aws-down,azure,18,rpo-0728235732azure-0018@test.local,00:02:14.445,201,outage
aws-down,azure,19,rpo-0728235732azure-0019@test.local,00:02:16.052,201,outage
aws-down,azure,20,rpo-0728235732azure-0020@test.local,00:02:17.669,201,outage
aws-down,azure,21,rpo-0728235732azure-0021@test.local,00:02:19.258,201,outage
aws-down,azure,22,rpo-0728235732azure-0022@test.local,00:02:20.857,201,outage
aws-down,azure,23,rpo-0728235732azure-0023@test.local,00:02:22.446,201,outage
aws-down,azure,24,rpo-0728235732azure-0024@test.local,00:02:24.044,201,outage
aws-down,azure,25,rpo-0728235732azure-0025@test.local,00:02:25.634,201,outage
aws-down,azure,26,rpo-0728235732azure-0026@test.local,00:02:27.234,201,outage
aws-down,azure,27,rpo-0728235732azure-0027@test.local,00:02:28.889,201,outage
aws-down,azure,28,rpo-0728235732azure-0028@test.local,00:02:30.488,201,outage
aws-down,azure,29,rpo-0728235732azure-0029@test.local,00:02:32.092,201,outage
aws-down,azure,30,rpo-0728235732azure-0030@test.local,00:02:33.753,201,outage
aws-down,azure,31,rpo-0728235732azure-0031@test.local,00:02:35.357,201,outage
aws-down,azure,32,rpo-0728235732azure-0032@test.local,00:02:36.959,201,outage
aws-down,azure,33,rpo-0728235732azure-0033@test.local,00:02:38.549,201,outage
aws-down,azure,34,rpo-0728235732azure-0034@test.local,00:02:40.144,201,outage
aws-down,azure,35,rpo-0728235732azure-0035@test.local,00:02:41.749,201,outage
aws-down,azure,36,rpo-0728235732azure-0036@test.local,00:02:43.349,201,outage
aws-down,azure,37,rpo-0728235732azure-0037@test.local,00:02:44.967,201,outage
aws-down,azure,38,rpo-0728235732azure-0038@test.local,00:02:46.616,201,outage
aws-down,azure,39,rpo-0728235732azure-0039@test.local,00:02:48.205,201,outage
aws-down,azure,40,rpo-0728235732azure-0040@test.local,00:02:49.790,201,outage
aws-down,azure,41,rpo-0728235732azure-0041@test.local,00:02:51.397,201,outage
aws-down,azure,42,rpo-0728235732azure-0042@test.local,00:02:52.998,201,outage
aws-down,azure,43,rpo-0728235732azure-0043@test.local,00:02:54.600,201,outage
aws-down,azure,44,rpo-0728235732azure-0044@test.local,00:02:56.183,201,outage
aws-down,azure,45,rpo-0728235732azure-0045@test.local,00:02:57.773,201,outage
aws-down,azure,46,rpo-0728235732azure-0046@test.local,00:02:59.376,201,outage
aws-down,azure,47,rpo-0728235732azure-0047@test.local,00:03:00.996,201,outage
aws-down,azure,48,rpo-0728235732azure-0048@test.local,00:03:02.595,201,outage
aws-down,azure,49,rpo-0728235732azure-0049@test.local,00:03:04.185,201,outage
aws-down,azure,50,rpo-0728235732azure-0050@test.local,00:03:05.785,201,outage
